accession,predicted_CT,actual_CT,predicted_CG,actual_CG,predicted_TG,actual_TG,predicted_CA,actual_CA,predicted_TT,actual_TT,predicted_TA,actual_TA,predicted_GG,actual_GG,predicted_AG,actual_AG,predicted_CC,actual_CC,predicted_GT,actual_GT,predicted_GA,actual_GA,predicted_AT,actual_AT,predicted_TC,actual_TC,predicted_AA,actual_AA,predicted_GC,actual_GC,predicted_AC,actual_AC
CP001785,0.06,0.074,0.088,0.079,0.06,0.058,0.06,0.057,0.041,0.044,0.041,0.037,0.089,0.085,0.061,0.074,0.088,0.084,0.06,0.051,0.061,0.066,0.041,0.035,0.06,0.065,0.041,0.045,0.088,0.094,0.06,0.051
CP007128,0.05,0.045,0.132,0.196,0.05,0.046,0.05,0.046,0.019,0.014,0.019,0.01,0.131,0.072,0.05,0.046,0.132,0.072,0.05,0.058,0.05,0.07,0.019,0.023,0.05,0.07,0.019,0.015,0.132,0.159,0.05,0.058
CP000747,0.051,0.054,0.127,0.152,0.051,0.052,0.051,0.052,0.02,0.019,0.021,0.01,0.128,0.094,0.051,0.055,0.127,0.093,0.051,0.047,0.051,0.068,0.021,0.027,0.051,0.067,0.021,0.02,0.127,0.144,0.051,0.047
CP002280,0.062,0.061,0.072,0.084,0.063,0.067,0.061,0.066,0.054,0.051,0.054,0.048,0.073,0.058,0.062,0.06,0.071,0.057,0.063,0.059,0.062,0.066,0.054,0.061,0.062,0.066,0.053,0.05,0.072,0.087,0.061,0.058
CP001013,0.054,0.053,0.119,0.144,0.053,0.067,0.054,0.067,0.024,0.022,0.024,0.008,0.118,0.077,0.054,0.053,0.119,0.079,0.053,0.051,0.054,0.061,0.024,0.032,0.054,0.061,0.024,0.022,0.119,0.152,0.054,0.052
HE983995,0.058,0.064,0.034,0.024,0.058,0.066,0.058,0.066,0.1,0.085,0.1,0.106,0.034,0.038,0.058,0.064,0.034,0.037,0.058,0.052,0.058,0.052,0.1,0.107,0.058,0.051,0.101,0.086,0.034,0.049,0.058,0.053
CP000252,0.062,0.058,0.066,0.073,0.063,0.067,0.062,0.066,0.059,0.059,0.059,0.034,0.067,0.064,0.063,0.058,0.065,0.063,0.063,0.048,0.063,0.081,0.059,0.074,0.062,0.08,0.059,0.06,0.066,0.069,0.062,0.048
CP006955,0.061,0.057,0.042,0.045,0.061,0.074,0.06,0.074,0.088,0.085,0.087,0.073,0.042,0.038,0.06,0.056,0.042,0.038,0.061,0.054,0.06,0.054,0.087,0.091,0.061,0.056,0.086,0.084,0.042,0.067,0.06,0.054
CP000478,0.06,0.054,0.09,0.107,0.06,0.061,0.06,0.062,0.04,0.042,0.04,0.018,0.09,0.076,0.06,0.055,0.09,0.076,0.06,0.052,0.06,0.079,0.04,0.052,0.06,0.078,0.041,0.043,0.09,0.091,0.06,0.053
CP001843,0.062,0.058,0.065,0.061,0.062,0.063,0.063,0.063,0.06,0.062,0.06,0.057,0.064,0.073,0.063,0.058,0.065,0.073,0.062,0.049,0.063,0.063,0.06,0.075,0.062,0.062,0.061,0.063,0.065,0.07,0.063,0.05
CP002629,0.062,0.061,0.07,0.068,0.062,0.066,0.062,0.066,0.056,0.055,0.055,0.045,0.07,0.072,0.062,0.061,0.07,0.071,0.062,0.049,0.062,0.068,0.055,0.069,0.062,0.068,0.055,0.055,0.07,0.078,0.062,0.049
CP001681,0.061,0.059,0.044,0.035,0.061,0.073,0.061,0.073,0.085,0.079,0.084,0.076,0.044,0.05,0.061,0.059,0.044,0.05,0.061,0.055,0.061,0.054,0.084,0.09,0.061,0.055,0.083,0.078,0.044,0.059,0.061,0.054
AP012304,0.057,0.052,0.106,0.144,0.057,0.059,0.057,0.058,0.03,0.03,0.03,0.014,0.107,0.07,0.057,0.053,0.105,0.069,0.057,0.052,0.057,0.074,0.03,0.041,0.057,0.073,0.03,0.03,0.106,0.129,0.057,0.052
CP003346,0.063,0.06,0.05,0.041,0.063,0.074,0.061,0.073,0.078,0.074,0.076,0.058,0.05,0.057,0.061,0.059,0.05,0.057,0.063,0.053,0.061,0.065,0.076,0.086,0.063,0.067,0.074,0.071,0.05,0.056,0.061,0.051
CP002042,0.059,0.069,0.097,0.09,0.059,0.063,0.058,0.062,0.036,0.036,0.035,0.031,0.098,0.087,0.059,0.069,0.096,0.086,0.059,0.051,0.059,0.063,0.035,0.036,0.059,0.062,0.035,0.036,0.097,0.107,0.058,0.051
CP003203,0.058,0.057,0.097,0.103,0.059,0.07,0.059,0.07,0.035,0.036,0.036,0.018,0.097,0.079,0.059,0.057,0.097,0.079,0.059,0.059,0.059,0.067,0.036,0.038,0.058,0.067,0.036,0.036,0.097,0.103,0.059,0.06
CP003653,0.058,0.065,0.032,0.03,0.058,0.063,0.057,0.062,0.103,0.097,0.103,0.089,0.032,0.031,0.058,0.065,0.032,0.031,0.058,0.053,0.058,0.062,0.103,0.095,0.058,0.062,0.102,0.097,0.032,0.043,0.057,0.053
CR767821,0.05,0.057,0.019,0.008,0.049,0.06,0.051,0.063,0.13,0.099,0.131,0.146,0.018,0.019,0.049,0.056,0.019,0.02,0.049,0.054,0.049,0.048,0.131,0.144,0.05,0.048,0.133,0.1,0.019,0.024,0.051,0.056
CP002691,0.062,0.053,0.056,0.055,0.062,0.077,0.062,0.077,0.07,0.073,0.07,0.048,0.056,0.057,0.062,0.053,0.055,0.056,0.062,0.058,0.062,0.06,0.07,0.074,0.062,0.059,0.07,0.074,0.056,0.068,0.062,0.058
CP001814,0.052,0.053,0.126,0.146,0.052,0.055,0.052,0.054,0.021,0.017,0.021,0.011,0.125,0.096,0.052,0.052,0.126,0.096,0.052,0.056,0.052,0.069,0.021,0.026,0.052,0.069,0.021,0.017,0.126,0.128,0.052,0.056
CP006778,0.05,0.056,0.018,0.009,0.049,0.064,0.049,0.064,0.135,0.123,0.133,0.113,0.018,0.019,0.048,0.054,0.018,0.019,0.049,0.047,0.048,0.054,0.133,0.13,0.05,0.056,0.132,0.121,0.018,0.026,0.049,0.047
AP012492,0.059,0.068,0.037,0.027,0.059,0.072,0.059,0.071,0.095,0.087,0.095,0.084,0.037,0.033,0.059,0.068,0.037,0.033,0.059,0.046,0.059,0.057,0.095,0.1,0.059,0.057,0.095,0.087,0.037,0.064,0.059,0.045
CP011052,0.062,0.062,0.074,0.081,0.062,0.072,0.062,0.073,0.052,0.05,0.052,0.046,0.073,0.058,0.062,0.061,0.074,0.059,0.062,0.055,0.062,0.057,0.052,0.06,0.062,0.058,0.052,0.05,0.074,0.103,0.062,0.055
AE015928,0.061,0.06,0.046,0.049,0.062,0.068,0.061,0.067,0.082,0.072,0.082,0.07,0.046,0.044,0.061,0.059,0.046,0.043,0.062,0.057,0.061,0.07,0.082,0.092,0.061,0.07,0.081,0.071,0.046,0.05,0.061,0.056
CP002039,0.058,0.057,0.101,0.108,0.058,0.075,0.058,0.075,0.033,0.032,0.033,0.017,0.101,0.076,0.058,0.057,0.1,0.076,0.058,0.048,0.058,0.061,0.033,0.048,0.058,0.061,0.034,0.032,0.101,0.131,0.058,0.048
CP000141,0.061,0.06,0.044,0.046,0.061,0.055,0.061,0.055,0.084,0.091,0.084,0.079,0.044,0.057,0.061,0.06,0.044,0.057,0.061,0.05,0.061,0.056,0.084,0.08,0.061,0.056,0.084,0.092,0.044,0.055,0.061,0.05
CP000792,0.06,0.073,0.039,0.043,0.059,0.064,0.06,0.065,0.092,0.083,0.092,0.082,0.038,0.031,0.059,0.072,0.039,0.032,0.059,0.045,0.059,0.059,0.092,0.088,0.06,0.06,0.092,0.083,0.039,0.075,0.06,0.046
AP010968,0.048,0.05,0.138,0.162,0.048,0.051,0.048,0.051,0.017,0.014,0.017,0.009,0.137,0.103,0.048,0.048,0.139,0.104,0.048,0.055,0.048,0.061,0.017,0.016,0.048,0.061,0.017,0.014,0.138,0.144,0.048,0.057
AP008230,0.065,0.067,0.056,0.047,0.06,0.066,0.064,0.072,0.07,0.068,0.069,0.056,0.052,0.056,0.059,0.063,0.061,0.063,0.06,0.045,0.059,0.065,0.069,0.081,0.065,0.073,0.068,0.066,0.056,0.066,0.064,0.048
CP000116,0.056,0.052,0.109,0.153,0.056,0.055,0.056,0.056,0.029,0.029,0.029,0.014,0.109,0.069,0.056,0.052,0.109,0.069,0.056,0.052,0.056,0.071,0.029,0.037,0.056,0.071,0.029,0.029,0.109,0.138,0.056,0.052
CP004856,0.061,0.058,0.046,0.051,0.061,0.072,0.061,0.073,0.081,0.079,0.082,0.053,0.046,0.04,0.061,0.059,0.046,0.04,0.061,0.053,0.061,0.071,0.082,0.086,0.061,0.071,0.082,0.08,0.046,0.059,0.061,0.053
CP001707,0.061,0.063,0.048,0.046,0.062,0.074,0.061,0.074,0.079,0.073,0.079,0.066,0.048,0.042,0.062,0.064,0.047,0.042,0.062,0.056,0.062,0.062,0.079,0.083,0.061,0.061,0.08,0.074,0.048,0.066,0.061,0.056
CP001992,0.062,0.058,0.077,0.085,0.061,0.069,0.062,0.071,0.049,0.05,0.05,0.034,0.076,0.065,0.062,0.058,0.078,0.066,0.061,0.061,0.062,0.066,0.05,0.053,0.062,0.067,0.05,0.05,0.077,0.085,0.062,0.061
CP002347,0.057,0.062,0.032,0.02,0.058,0.066,0.057,0.065,0.104,0.089,0.103,0.094,0.032,0.039,0.058,0.062,0.032,0.039,0.058,0.048,0.058,0.065,0.103,0.114,0.057,0.065,0.103,0.089,0.032,0.035,0.057,0.048
FQ312005,0.059,0.079,0.034,0.022,0.058,0.061,0.058,0.06,0.101,0.089,0.1,0.085,0.034,0.03,0.058,0.078,0.034,0.031,0.058,0.049,0.058,0.074,0.1,0.093,0.059,0.075,0.099,0.088,0.034,0.037,0.058,0.049
CP010803,0.059,0.053,0.097,0.126,0.059,0.061,0.059,0.061,0.036,0.036,0.036,0.017,0.096,0.071,0.059,0.053,0.097,0.071,0.059,0.047,0.059,0.075,0.036,0.053,0.059,0.075,0.036,0.035,0.097,0.118,0.059,0.047
CP000383,0.059,0.053,0.038,0.04,0.059,0.072,0.06,0.072,0.093,0.085,0.093,0.083,0.038,0.038,0.06,0.054,0.038,0.038,0.059,0.056,0.06,0.057,0.093,0.102,0.059,0.056,0.094,0.085,0.038,0.053,0.06,0.056
CP007446,0.061,0.057,0.043,0.041,0.06,0.075,0.061,0.076,0.086,0.074,0.086,0.082,0.042,0.041,0.061,0.057,0.043,0.041,0.06,0.054,0.061,0.054,0.086,0.1,0.061,0.054,0.087,0.075,0.043,0.065,0.061,0.055
CP000679,0.052,0.062,0.031,0.016,0.059,0.074,0.055,0.07,0.1,0.094,0.105,0.083,0.035,0.035,0.062,0.073,0.027,0.028,0.059,0.052,0.062,0.069,0.105,0.098,0.052,0.055,0.11,0.099,0.031,0.042,0.055,0.051
CP002701,0.047,0.051,0.016,0.014,0.047,0.054,0.047,0.054,0.137,0.119,0.139,0.132,0.016,0.02,0.048,0.052,0.016,0.02,0.047,0.043,0.048,0.055,0.139,0.147,0.047,0.054,0.141,0.121,0.016,0.022,0.047,0.043
CP001087,0.063,0.057,0.06,0.047,0.062,0.078,0.063,0.079,0.066,0.067,0.065,0.04,0.059,0.065,0.062,0.057,0.06,0.066,0.062,0.053,0.062,0.067,0.065,0.077,0.063,0.068,0.065,0.066,0.06,0.061,0.063,0.053
CP000157,0.058,0.053,0.099,0.132,0.058,0.061,0.058,0.061,0.034,0.034,0.034,0.017,0.1,0.069,0.058,0.053,0.099,0.069,0.058,0.047,0.058,0.073,0.034,0.051,0.058,0.073,0.034,0.034,0.099,0.126,0.058,0.047
CP003281,0.058,0.065,0.034,0.022,0.058,0.07,0.058,0.071,0.099,0.092,0.1,0.073,0.034,0.036,0.058,0.065,0.034,0.036,0.058,0.047,0.058,0.071,0.1,0.102,0.058,0.07,0.101,0.093,0.034,0.04,0.058,0.047
CP001896,0.057,0.056,0.104,0.128,0.057,0.063,0.057,0.063,0.032,0.026,0.032,0.014,0.104,0.073,0.057,0.056,0.103,0.073,0.057,0.051,0.057,0.077,0.032,0.048,0.057,0.077,0.032,0.026,0.104,0.119,0.057,0.051
CP006650,0.058,0.054,0.1,0.129,0.058,0.061,0.058,0.061,0.033,0.034,0.034,0.014,0.1,0.072,0.058,0.054,0.101,0.073,0.058,0.04,0.058,0.074,0.034,0.055,0.058,0.074,0.034,0.034,0.1,0.13,0.058,0.041
CP003147,0.062,0.066,0.068,0.065,0.057,0.072,0.069,0.089,0.052,0.049,0.057,0.031,0.062,0.05,0.062,0.066,0.076,0.058,0.057,0.05,0.062,0.065,0.057,0.06,0.062,0.073,0.062,0.058,0.068,0.088,0.069,0.059
CP005990,0.058,0.053,0.102,0.121,0.058,0.067,0.058,0.067,0.033,0.026,0.033,0.019,0.102,0.075,0.057,0.053,0.102,0.076,0.058,0.052,0.057,0.072,0.033,0.054,0.058,0.073,0.032,0.025,0.102,0.117,0.058,0.052
AL935263,0.062,0.052,0.049,0.059,0.062,0.073,0.062,0.073,0.077,0.074,0.077,0.065,0.049,0.043,0.062,0.052,0.05,0.044,0.062,0.063,0.062,0.06,0.077,0.083,0.062,0.061,0.077,0.074,0.049,0.06,0.062,0.063
CP003130,0.061,0.064,0.084,0.096,0.061,0.068,0.061,0.067,0.044,0.041,0.044,0.028,0.084,0.063,0.061,0.064,0.083,0.062,0.061,0.055,0.061,0.074,0.044,0.051,0.061,0.074,0.044,0.041,0.084,0.099,0.061,0.054
CP003075,0.062,0.052,0.094,0.119,0.057,0.062,0.062,0.067,0.037,0.038,0.037,0.019,0.087,0.067,0.057,0.048,0.102,0.079,0.057,0.047,0.057,0.069,0.037,0.057,0.062,0.075,0.037,0.039,0.094,0.114,0.062,0.049
AP009552,0.061,0.063,0.045,0.046,0.061,0.059,0.061,0.059,0.083,0.082,0.083,0.074,0.045,0.047,0.061,0.063,0.045,0.047,0.061,0.052,0.061,0.068,0.083,0.086,0.061,0.068,0.083,0.082,0.045,0.049,0.061,0.052
CP009301,0.059,0.072,0.036,0.029,0.059,0.065,0.059,0.065,0.096,0.078,0.096,0.102,0.036,0.032,0.059,0.072,0.037,0.033,0.059,0.061,0.059,0.056,0.096,0.09,0.059,0.057,0.095,0.078,0.036,0.049,0.059,0.06
AM260525,0.061,0.058,0.038,0.036,0.056,0.069,0.063,0.078,0.09,0.088,0.093,0.071,0.035,0.033,0.058,0.058,0.041,0.039,0.056,0.047,0.058,0.061,0.093,0.098,0.061,0.064,0.097,0.092,0.038,0.054,0.063,0.054
CP001674,0.062,0.058,0.075,0.075,0.062,0.083,0.062,0.083,0.051,0.048,0.051,0.035,0.075,0.062,0.062,0.057,0.075,0.062,0.062,0.05,0.062,0.057,0.051,0.068,0.062,0.057,0.05,0.047,0.075,0.108,0.062,0.05
CP009706,0.063,0.057,0.06,0.072,0.062,0.073,0.063,0.074,0.065,0.062,0.065,0.055,0.06,0.048,0.062,0.057,0.06,0.049,0.062,0.056,0.062,0.06,0.065,0.075,0.063,0.06,0.065,0.062,0.06,0.086,0.063,0.056
HF951689,0.061,0.067,0.074,0.079,0.061,0.066,0.062,0.067,0.051,0.048,0.051,0.044,0.074,0.062,0.062,0.067,0.074,0.063,0.061,0.054,0.062,0.067,0.051,0.056,0.061,0.066,0.052,0.049,0.074,0.091,0.062,0.054
CP003171,0.06,0.059,0.093,0.087,0.06,0.079,0.059,0.078,0.038,0.038,0.038,0.024,0.093,0.081,0.059,0.058,0.093,0.081,0.06,0.053,0.059,0.054,0.038,0.047,0.06,0.055,0.038,0.038,0.093,0.117,0.059,0.052
CP008802,0.059,0.052,0.097,0.118,0.059,0.061,0.059,0.06,0.036,0.038,0.036,0.029,0.097,0.08,0.059,0.052,0.096,0.078,0.059,0.052,0.059,0.064,0.036,0.049,0.059,0.063,0.036,0.038,0.097,0.115,0.059,0.052
CP011265,0.059,0.055,0.094,0.117,0.06,0.061,0.059,0.06,0.038,0.039,0.037,0.024,0.094,0.075,0.059,0.055,0.093,0.074,0.06,0.054,0.059,0.069,0.037,0.044,0.059,0.069,0.037,0.039,0.094,0.11,0.059,0.054
CP000927,0.055,0.053,0.114,0.137,0.055,0.057,0.055,0.058,0.026,0.027,0.026,0.013,0.113,0.086,0.055,0.053,0.114,0.086,0.055,0.049,0.055,0.069,0.026,0.037,0.055,0.069,0.027,0.027,0.114,0.129,0.055,0.05
CP001818,0.059,0.067,0.102,0.074,0.057,0.064,0.058,0.065,0.033,0.03,0.033,0.026,0.099,0.103,0.057,0.066,0.104,0.108,0.057,0.053,0.057,0.07,0.033,0.042,0.059,0.072,0.033,0.029,0.102,0.08,0.058,0.053
CP000264,0.058,0.049,0.097,0.115,0.06,0.071,0.058,0.069,0.036,0.035,0.035,0.017,0.099,0.078,0.059,0.049,0.095,0.074,0.06,0.053,0.059,0.069,0.035,0.054,0.058,0.068,0.035,0.034,0.097,0.113,0.058,0.052
CP009415,0.054,0.061,0.025,0.017,0.054,0.062,0.054,0.062,0.118,0.099,0.118,0.113,0.024,0.025,0.054,0.061,0.025,0.025,0.054,0.054,0.054,0.061,0.118,0.121,0.054,0.061,0.118,0.099,0.025,0.026,0.054,0.054
CP001619,0.062,0.051,0.066,0.086,0.063,0.068,0.062,0.068,0.059,0.061,0.059,0.042,0.066,0.058,0.062,0.051,0.066,0.058,0.063,0.055,0.062,0.065,0.059,0.07,0.062,0.065,0.059,0.06,0.066,0.085,0.062,0.055
CP001834,0.057,0.06,0.03,0.025,0.057,0.07,0.057,0.069,0.106,0.101,0.106,0.079,0.031,0.031,0.057,0.06,0.03,0.031,0.057,0.051,0.057,0.065,0.106,0.103,0.057,0.064,0.106,0.101,0.03,0.039,0.057,0.051
CP007519,0.061,0.057,0.089,0.11,0.06,0.064,0.061,0.066,0.041,0.038,0.041,0.027,0.087,0.064,0.06,0.058,0.09,0.066,0.06,0.057,0.06,0.072,0.041,0.049,0.061,0.073,0.041,0.038,0.089,0.102,0.061,0.058
CP002432,0.061,0.063,0.079,0.07,0.062,0.079,0.062,0.079,0.048,0.044,0.048,0.03,0.079,0.068,0.062,0.064,0.078,0.068,0.062,0.053,0.062,0.066,0.048,0.059,0.061,0.066,0.048,0.044,0.079,0.094,0.062,0.053
CP002961,0.057,0.057,0.032,0.031,0.058,0.068,0.057,0.067,0.104,0.099,0.103,0.087,0.032,0.034,0.057,0.057,0.031,0.033,0.058,0.054,0.057,0.059,0.103,0.103,0.057,0.059,0.102,0.098,0.032,0.043,0.057,0.052
CP003389,0.052,0.057,0.122,0.136,0.053,0.063,0.053,0.063,0.023,0.021,0.023,0.009,0.123,0.088,0.053,0.057,0.122,0.087,0.053,0.054,0.053,0.063,0.023,0.023,0.052,0.063,0.023,0.021,0.122,0.139,0.053,0.055
CP009291,0.058,0.055,0.101,0.128,0.059,0.063,0.057,0.061,0.034,0.034,0.033,0.016,0.102,0.072,0.058,0.054,0.1,0.071,0.059,0.048,0.058,0.072,0.033,0.048,0.058,0.072,0.033,0.034,0.101,0.124,0.057,0.047
CP000360,0.061,0.056,0.085,0.113,0.061,0.064,0.061,0.064,0.043,0.044,0.043,0.024,0.085,0.06,0.061,0.056,0.085,0.06,0.061,0.056,0.061,0.075,0.043,0.051,0.061,0.074,0.043,0.044,0.085,0.102,0.061,0.056
CP010049,0.048,0.043,0.019,0.019,0.051,0.064,0.048,0.06,0.133,0.11,0.132,0.136,0.02,0.023,0.051,0.046,0.018,0.02,0.051,0.055,0.051,0.047,0.132,0.147,0.048,0.045,0.131,0.109,0.019,0.026,0.048,0.051
CP002131,0.062,0.063,0.055,0.057,0.062,0.059,0.062,0.058,0.07,0.069,0.071,0.066,0.055,0.06,0.063,0.064,0.054,0.059,0.062,0.051,0.063,0.066,0.071,0.077,0.062,0.065,0.071,0.07,0.055,0.063,0.062,0.051
CP001875,0.062,0.057,0.072,0.083,0.062,0.075,0.062,0.076,0.054,0.051,0.054,0.041,0.072,0.057,0.062,0.057,0.072,0.058,0.062,0.056,0.062,0.059,0.054,0.063,0.062,0.06,0.053,0.051,0.072,0.099,0.062,0.056
AP009179,0.062,0.066,0.048,0.043,0.062,0.073,0.061,0.073,0.079,0.068,0.079,0.06,0.048,0.044,0.061,0.066,0.048,0.044,0.062,0.056,0.061,0.073,0.079,0.085,0.062,0.074,0.078,0.067,0.048,0.053,0.061,0.056
AP009178,0.06,0.065,0.039,0.037,0.06,0.07,0.06,0.07,0.091,0.082,0.091,0.066,0.039,0.037,0.06,0.065,0.04,0.037,0.06,0.05,0.06,0.073,0.091,0.095,0.06,0.073,0.091,0.082,0.039,0.049,0.06,0.049
CP000859,0.061,0.052,0.079,0.081,0.062,0.073,0.062,0.072,0.048,0.051,0.048,0.031,0.079,0.079,0.062,0.051,0.079,0.079,0.062,0.054,0.062,0.063,0.048,0.059,0.061,0.062,0.048,0.051,0.079,0.087,0.062,0.055
CP001032,0.056,0.05,0.107,0.149,0.057,0.058,0.056,0.056,0.03,0.031,0.03,0.013,0.108,0.072,0.057,0.05,0.105,0.07,0.057,0.054,0.057,0.073,0.03,0.038,0.056,0.071,0.03,0.031,0.107,0.131,0.056,0.053
CP001874,0.05,0.049,0.131,0.159,0.05,0.049,0.05,0.05,0.019,0.015,0.019,0.01,0.131,0.098,0.05,0.049,0.132,0.099,0.05,0.054,0.05,0.069,0.019,0.026,0.05,0.069,0.019,0.015,0.131,0.135,0.05,0.054
CP002976,0.06,0.055,0.09,0.098,0.06,0.076,0.06,0.076,0.04,0.038,0.04,0.021,0.089,0.071,0.06,0.054,0.09,0.072,0.06,0.05,0.06,0.066,0.04,0.058,0.06,0.066,0.04,0.038,0.09,0.111,0.06,0.051
AP012333,0.06,0.06,0.085,0.084,0.061,0.064,0.061,0.065,0.043,0.043,0.043,0.024,0.085,0.081,0.061,0.06,0.085,0.08,0.061,0.05,0.061,0.078,0.043,0.056,0.06,0.078,0.044,0.044,0.085,0.081,0.061,0.05
CP002999,0.06,0.053,0.043,0.037,0.061,0.073,0.061,0.072,0.085,0.086,0.086,0.066,0.043,0.051,0.061,0.054,0.042,0.051,0.061,0.055,0.061,0.063,0.086,0.091,0.06,0.061,0.087,0.086,0.043,0.046,0.061,0.056
CP001966,0.054,0.048,0.117,0.151,0.054,0.057,0.054,0.056,0.025,0.02,0.025,0.013,0.118,0.083,0.054,0.048,0.116,0.082,0.054,0.06,0.054,0.073,0.025,0.034,0.054,0.073,0.025,0.02,0.117,0.122,0.054,0.06
CP003058,0.063,0.061,0.063,0.06,0.063,0.072,0.062,0.071,0.063,0.064,0.062,0.042,0.062,0.062,0.062,0.06,0.063,0.062,0.063,0.05,0.062,0.07,0.062,0.074,0.063,0.07,0.062,0.062,0.063,0.073,0.062,0.049
CP001823,0.054,0.055,0.116,0.14,0.055,0.058,0.054,0.057,0.026,0.02,0.025,0.015,0.117,0.084,0.054,0.054,0.115,0.083,0.055,0.056,0.054,0.072,0.025,0.034,0.054,0.072,0.025,0.02,0.116,0.124,0.054,0.056
CP002825,0.053,0.059,0.024,0.021,0.053,0.06,0.054,0.061,0.117,0.106,0.12,0.117,0.024,0.026,0.054,0.06,0.024,0.025,0.053,0.055,0.054,0.049,0.12,0.11,0.053,0.047,0.122,0.109,0.024,0.037,0.054,0.057
CP006866,0.062,0.053,0.056,0.084,0.062,0.065,0.062,0.065,0.069,0.064,0.07,0.043,0.056,0.04,0.063,0.054,0.055,0.039,0.062,0.063,0.063,0.086,0.07,0.077,0.062,0.085,0.07,0.065,0.056,0.053,0.062,0.063
CP000232,0.061,0.062,0.078,0.069,0.062,0.061,0.062,0.062,0.049,0.051,0.049,0.051,0.078,0.085,0.062,0.063,0.078,0.085,0.062,0.051,0.062,0.058,0.049,0.058,0.061,0.058,0.049,0.051,0.078,0.085,0.062,0.05
CP000377,0.06,0.057,0.091,0.104,0.06,0.073,0.06,0.072,0.039,0.038,0.039,0.018,0.091,0.069,0.06,0.056,0.091,0.069,0.06,0.049,0.06,0.069,0.039,0.054,0.06,0.069,0.039,0.038,0.091,0.115,0.06,0.05
CP001618,0.049,0.047,0.134,0.183,0.049,0.046,0.049,0.046,0.018,0.011,0.018,0.008,0.133,0.085,0.049,0.047,0.134,0.086,0.049,0.062,0.049,0.075,0.018,0.019,0.049,0.074,0.018,0.011,0.134,0.138,0.049,0.063
CP002171,0.056,0.061,0.029,0.022,0.056,0.067,0.056,0.067,0.109,0.092,0.109,0.102,0.029,0.031,0.056,0.061,0.029,0.031,0.056,0.048,0.056,0.06,0.109,0.12,0.056,0.059,0.108,0.091,0.029,0.042,0.056,0.047
CP002521,0.054,0.053,0.118,0.133,0.054,0.069,0.054,0.069,0.024,0.023,0.024,0.011,0.118,0.085,0.054,0.053,0.119,0.085,0.054,0.048,0.054,0.057,0.024,0.035,0.054,0.057,0.024,0.023,0.118,0.15,0.054,0.049
